0_,1_Symbol,2_Company Name,3_,4_High,5_Offer Shares,6_Offer Price,7_Close Price,8_Bid Price,9_Bid Shares,10_Low,11_Shares,12_Prev Close,13_Chg,14_%,15_Trades,16_Avg Price,17_52 Week High,18_52 Week Low,19_Riyal,Timestamp
,ORDS,Ooredoo,+,9.787,"45,000",9.55,9.5,9.5,"283,315",9.256,"2,520,682",9.3,0.2,2.15,690,9.509,10.69,7.001,"23,968,646",2023-03-04 18:28:02.527389+00:00
,UDCD,United Dev,+,1.189,"15,000",1.179,1.172,1.172,"25,000",1.145,"2,806,445",1.14,0.032,2.81,154,1.166,1.694,1.114,"3,271,591",2023-03-04 18:28:02.527389+00:00
,DHBK,Doha B,+,1.738,"10,000",1.7,1.698,1.698,"64,899",1.65,"8,761,765",1.66,0.038,2.29,323,1.695,2.85,1.58,"14,852,827",2023-03-04 18:28:02.527389+00:00
,MKDM,Mekdam Holding Group,=,7.4,"9,390",7.4,7.4,7.395,"10,000",7.393,"180,742",7.4,0.0,0.0,86,7.4,8.684,5.9,"1,337,465",2023-03-04 18:28:02.527389+00:00
,IQCD,Industries Qatar,+,14.23,"8,500",14.1,14.1,14.08,"1,100",13.96,"4,826,169",13.95,0.15,1.07,"1,687",14.09,20.35,12.7,"68,006,533",2023-03-04 18:28:02.527389+00:00
,MARK,Rayyan B,+,2.745,"10,172",2.73,2.73,2.725,"209,143",2.7,"21,580,233",2.7,0.03,1.11,"1,812",2.723,5.98,2.582,"58,762,215",2023-03-04 18:28:02.527389+00:00
,IGRD,Estithmar,+,1.95,"117,057",1.924,1.924,1.919,"69,943",1.919,"11,068,542",1.919,0.005,0.26,847,1.932,2.765,1.423,"21,384,721",2023-03-04 18:28:02.527389+00:00
,QAMC,QAMCO,+,1.76,"129,451",1.759,1.759,1.751,"20,000",1.716,"11,430,410",1.715,0.044,2.57,694,1.741,2.819,1.46,"19,899,798",2023-03-04 18:28:02.527389+00:00
,QNBK,QNB,-,16.65,893,16.4,16.21,16.21,"226,827",16.21,"3,474,235",16.59,-0.38,2.29,"1,970",16.48,27.0,15.54,"57,245,722",2023-03-04 18:28:02.527389+00:00
,QIBK,QIB,+,18.92,"36,005",18.79,18.6,18.6,"113,285",18.45,"2,309,153",18.55,0.05,0.27,"1,164",18.63,28.0,17.9,"43,018,471",2023-03-04 18:28:02.527389+00:00
